,link,conference,title
0,http://aclweb.org/anthology/D18-1003,emnlp-2018,declare: debunking fake news and false claims using evidence-aware deep learning
1,http://aclweb.org/anthology/D18-1017,emnlp-2018,adversarial transfer learning for chinese named entity recognition with self-attention mechanism
2,http://aclweb.org/anthology/D18-1020,emnlp-2018,variational sequential labelers for semi-supervised learning
3,http://aclweb.org/anthology/D18-1021,emnlp-2018,joint representation learning of cross-lingual words and entities via attentive distant supervision
4,http://aclweb.org/anthology/D18-1022,emnlp-2018,deep pivot-based modeling for cross-language cross-domain transfer with minimal guidance
5,http://aclweb.org/anthology/D18-1031,emnlp-2018,personalized microblog sentiment classification via adversarial cross-lingual multi-task learning
6,http://aclweb.org/anthology/D18-1035,emnlp-2018,a stable and effective learning strategy for trainable greedy decoding
7,http://aclweb.org/anthology/D18-1055,emnlp-2018,adaptive document retrieval for deep question answering
8,http://aclweb.org/anthology/D18-1063,emnlp-2018,learning unsupervised word translations without adversaries
9,http://aclweb.org/anthology/D18-1065,emnlp-2018,surprisingly easy hard-attention for sequence to sequence learning
10,http://aclweb.org/anthology/D18-1066,emnlp-2018,joint learning for emotion classification and emotion cause detection
11,http://aclweb.org/anthology/D18-1067,emnlp-2018,exploring optimism and pessimism in twitter using deep learning
12,http://aclweb.org/anthology/D18-1068,emnlp-2018,predicting news headline popularity with syntactic and semantic knowledge using multi-task learning
13,http://aclweb.org/anthology/D18-1072,emnlp-2018,auto-dialabel: labeling dialogue data with unsupervised learning
14,http://aclweb.org/anthology/D18-1075,emnlp-2018,an auto-encoder matching model for learning utterance-level semantic dependency in dialogue generation
15,http://aclweb.org/anthology/D18-1079,emnlp-2018,using active learning to expand training data for implicit discourse relation recognition
16,http://aclweb.org/anthology/D18-1080,emnlp-2018,learning to split and rephrase from wikipedia edit history
17,http://aclweb.org/anthology/D18-1083,emnlp-2018,improving reinforcement learning based image captioning with natural language prior
18,http://aclweb.org/anthology/D18-1090,emnlp-2018,automatic essay scoring incorporating rating schema via reinforcement learning
19,http://aclweb.org/anthology/D18-1093,emnlp-2018,hft-cnn: learning hierarchical category structure for multi-label short text categorization
20,http://aclweb.org/anthology/D18-1107,emnlp-2018,a deep neural network sentence level classification method with context information
21,http://aclweb.org/anthology/D18-1138,emnlp-2018,learning sentiment memories for sentiment modification without parallel data
22,http://aclweb.org/anthology/D18-1160,emnlp-2018,unsupervised learning of syntactic structure with invertible neural projections
23,http://aclweb.org/anthology/D18-1165,emnlp-2018,learning a policy for opportunistic active learning
24,http://aclweb.org/anthology/D18-1173,emnlp-2018,"memory, show the way: memory based few shot word representation learning"
25,http://aclweb.org/anthology/D18-1177,emnlp-2018,a probabilistic model for joint learning of word embeddings from texts and images
26,http://aclweb.org/anthology/D18-1178,emnlp-2018,transfer and multi-task learning for nounânoun compound interpretation
27,http://aclweb.org/anthology/D18-1183,emnlp-2018,neural multitask learning for simile recognition
28,http://aclweb.org/anthology/D18-1195,emnlp-2018,learning to learn semantic parsers from natural language supervision
29,http://aclweb.org/anthology/D18-1196,emnlp-2018,deepcx: a transition-based approach for shallow semantic parsing with complex constructional triggers
30,http://aclweb.org/anthology/D18-1202,emnlp-2018,learning scalar adjective intensity from paraphrases
31,http://aclweb.org/anthology/D18-1208,emnlp-2018,content selection in deep learning models of summarization
32,http://aclweb.org/anthology/D18-1210,emnlp-2018,learning context-sensitive convolutional filters for text processing
33,http://aclweb.org/anthology/D18-1211,emnlp-2018,deep relevance ranking using enhanced document-query interactions
34,http://aclweb.org/anthology/D18-1212,emnlp-2018,learning neural representation for clir with adversarial framework
